ID T IDR EventType X Y
1 7 2 GET1 4 6
2 656 1 GET3 3 7
3 885 2 SEND1 1 1
4 1139 2 GET1 3 7
5 1203 2 SEND1 1 1
6 1615 2 GET1 4 6
7 1674 1 SEND3 6 0
8 2017 1 GET1 5 7
9 2027 2 SEND1 1 1
10 2049 1 SEND1 0 0
11 2149 2 GET1 3 7
12 2717 1 GET2 3 7
13 2933 2 SEND1 0 0
14 3046 1 SEND2 4 1
15 3113 2 GET1 3 7
16 3167 2 SEND1 1 1
17 3181 1 GET1 3 7
18 3357 2 GET1 3 7
19 3439 2 SEND1 1 1
20 3583 1 SEND1 0 0
21 3823 2 GET1 3 7
22 3865 2 SEND1 1 1
23 3935 1 GET1 3 7
24 4001 2 GET1 3 7
25 4021 1 SEND1 1 1
26 4101 1 GET1 5 7
27 4119 2 SEND1 1 1
28 4155 1 SEND1 1 1
29 4233 1 GET1 5 7
30 4287 1 SEND1 1 1
31 4314 2 GET1 3 7
32 4378 2 SEND1 1 1
33 4402 2 GET2 3 7
34 4567 1 GET1 3 7
35 4649 1 SEND1 1 1
36 4755 1 GET1 3 7
37 4773 1 SEND1 2 0
38 5023 2 SEND2 3 0
39 5076 2 GET2 3 7
40 5151 2 SEND2 4 1
41 5340 2 GET1 3 7
42 5418 2 SEND1 0 0
43 5570 2 GET1 5 7
44 5583 1 GET1 3 7
45 5649 1 SEND1 2 0
46 6004 2 SEND1 1 1
47 6226 2 GET1 4 6
48 6318 2 SEND1 2 0
49 6391 1 GET1 4 6
50 6445 1 SEND1 2 0
51 6539 1 GET1 5 7
52 6632 2 GET2 5 7
53 6677 1 SEND1 1 1
54 6785 2 SEND2 4 1
55 6830 2 GET1 5 7
56 7027 1 GET2 5 7
57 7252 2 SEND1 1 1
58 7290 2 GET2 3 7
59 7351 2 SEND2 4 1
60 7402 2 GET1 3 7
61 7606 2 SEND1 1 1
62 7712 1 SEND2 3 0
63 7771 1 GET1 3 7
64 7792 2 GET1 3 7
65 7895 1 SEND1 0 0
66 7912 2 SEND1 0 0
67 7932 2 GET1 3 7
68 8063 1 GET1 5 7
69 8344 2 SEND1 1 1
70 8398 2 GET1 3 7
71 8432 2 SEND1 2 0
72 8470 2 GET1 3 7
73 8505 1 SEND1 2 0
74 8745 1 GET1 3 7
75 8760 2 SEND1 2 0
76 8769 1 SEND1 1 1
77 8870 2 GET1 5 7
78 8978 1 GET1 5 7
79 9132 1 SEND1 0 0
80 9324 1 GET2 3 7
81 9407 1 SEND2 4 1
82 9428 2 SEND1 2 0
83 9526 1 GET1 3 7
84 9606 2 GET1 3 7
85 9704 2 SEND1 0 0
86 9800 1 SEND1 1 1
87 9902 1 GET1 5 7
88 9958 1 SEND1 2 0
89 9986 2 GET1 5 7
90 10106 1 GET1 5 7
91 10264 2 SEND1 0 0
92 10332 1 SEND1 1 1
93 10358 2 GET1 3 7
94 10424 1 GET1 3 7
95 10866 1 SEND1 1 1
96 10897 2 SEND1 1 1
97 11247 2 GET3 5 7
98 11282 1 GET1 3 7
99 11422 1 SEND1 2 0
100 11498 1 GET1 4 6
101 11530 1 SEND1 1 1
102 11654 1 GET1 5 7
103 11846 1 SEND1 1 1
104 12133 2 SEND3 7 1
105 12172 1 GET1 3 7
106 12263 2 GET1 3 7
107 12284 1 SEND1 2 0
108 12564 1 GET1 4 6
109 12631 2 SEND1 1 1
110 12696 1 SEND1 2 0
111 12730 1 GET1 4 6
112 12824 1 SEND1 1 1
113 12966 1 GET1 4 6
114 12969 2 GET1 5 7
115 13056 1 SEND1 1 1
116 13168 1 GET1 3 7
117 13229 2 SEND1 2 0
118 13471 2 GET1 4 6
119 13652 1 SEND1 2 0
120 13782 1 GET1 3 7
121 13984 1 SEND1 0 0
122 14090 1 GET1 5 7
123 14502 1 SEND1 1 1
124 14535 2 SEND1 2 0
125 14565 2 GET1 3 7
126 14635 2 SEND1 1 1
127 14709 2 GET1 3 7
128 14769 2 SEND1 1 1
129 14772 1 GET2 5 7
130 14955 1 SEND2 4 1
131 14961 2 GET1 4 6
